crop_name,disease_name,crop_info,disease_description,cure,,,,,,,,
Grape,Black_rot,Grapevine is a perennial crop requiring warm climate,good sunlight,and well-drained soil. Proper training,pruning,irrigation management,and canopy control are essential to maintain vine health and fruit quality.,Black rot causes black spots on leaves and shriveled fruits.,Remove infected vines and apply fungicides regularly.,,,
Grape,Esca(Black_Measles),Grapes require long-term vineyard management with attention to pruning wounds,soil health,and water management. Mature vines are especially sensitive to trunk diseases.,Esca causes dark streaks in wood and leaf discoloration.,Remove infected vines and improve vineyard management.,,,,,,
Grape,healthy,Grape plants grown under optimal vineyard practices show healthy foliage,balanced vegetative growth,and uniform fruit clusters.,Plant shows healthy foliage and fruit development.,No treatment required; maintain proper care.,,,,,,
Grape,Leaf_blight(Isariopsis_Leaf_Spot),Grape cultivation requires monitoring leaf health and maintaining proper air circulation within the canopy. Excess moisture increases disease risk.,Leaf blight causes brown spots leading to leaf drop.,Apply fungicides and remove infected leaves.,,,,,,,,
Orange,Haunglongbing(Citrus_greening),Orange is a citrus crop grown in tropical and subtropical regions requiring warm temperatures and fertile soil. Trees need regular irrigation,balanced nutrition,and pest control for sustained fruit production.,Citrus greening causes yellowing leaves and misshapen fruits.,Remove infected trees and control insect vectors.,,,,,,
Peach,Bacterial_spot,Peach is a stone fruit crop requiring well-drained soil and good air circulation. Regular pruning,irrigation management,and nutrient supply are essential for healthy fruit development.,Bacterial spot causes dark lesions on leaves and fruits.,Use copper-based sprays and resistant varieties.,,,,,,
Peach,healthy,Peach trees managed under proper soil fertility,irrigation,and pruning practices show vigorous growth and quality fruiting.,Plant shows normal growth without disease symptoms.,No treatment required; maintain orchard hygiene.,,,,,,
Pepper,bell,Bacterial_spot,Bell pepper is a warm-season vegetable crop requiring fertile soil,proper irrigation,and disease-free seedlings. Adequate spacing and ventilation reduce disease risk.,Bacterial spot causes water-soaked lesions on leaves and fruits.,Apply copper sprays and avoid overhead irrigation.,,,,,
Pepper,bell,healthy,Bell pepper plants grown under optimal temperature,moisture,and nutrient conditions produce healthy foliage and uniform fruits.,Plant shows healthy foliage and fruiting.,No treatment required; follow good farming practices.,,,,,
Potato,Early_blight,Potato is a cool-season crop requiring loose,fertile soil and consistent moisture. Proper crop rotation and nutrient management are essential to reduce disease incidence.,Early blight causes brown concentric spots on leaves.,Apply fungicides and remove infected plant debris.,,,,,,,
Potato,healthy,Potato plants grown under proper irrigation,soil fertility,and disease monitoring produce healthy foliage and tubers.,Plant shows healthy leaves and tuber development.,No treatment required; maintain crop hygiene.,,,,,,
Potato,Late_blight,Potato cultivation requires constant disease surveillance especially under cool and wet conditions.,Late blight causes rapid leaf and tuber decay.,Use resistant varieties and apply fungicides promptly.,,,,,,,,
Raspberry,healthy,Raspberry is a perennial fruit crop requiring well-drained soil,moderate climate,and regular pruning. Proper irrigation and pest control improve fruit quality.,Plant remains healthy with no disease signs.,No treatment required; maintain proper care.,,,,,,
Soybean,healthy,Soybean is a leguminous crop grown for oil and protein content. It improves soil fertility through nitrogen fixation and requires proper nutrient and water management.,Plant shows vigorous growth and green foliage.,No treatment required; maintain soil fertility.,,,,,,,,
Squash,Powdery_mildew,Squash is a warm-season vegetable crop requiring fertile soil,full sunlight,and proper airflow. Dense foliage increases disease risk.,Powdery mildew causes white powdery coating on leaves.,Apply fungicides and improve air circulation.,,,,,,
Strawberry,healthy,Strawberry is a shallow-rooted fruit crop requiring fertile soil,proper irrigation,and mulching. Timely nutrient supply improves yield and fruit quality.,Plant shows healthy leaves and fruit development.,No treatment required; maintain field sanitation.,,,,,,
Strawberry,Leaf_scorch,Strawberry cultivation requires careful monitoring of foliage health and moisture levels.,Leaf scorch causes purple to brown leaf margins.,Remove infected leaves and apply fungicides.,,,,,,,,
Tomato,Bacterial_spot,Tomato is a warm-season vegetable crop requiring fertile soil,adequate sunlight,and proper spacing. Disease-free seedlings and sanitation are critical.,Bacterial spot causes dark lesions on leaves and fruits.,Use copper sprays and disease-free seeds.,,,,,,
Tomato,Early_blight,Tomato cultivation requires regular monitoring,balanced fertilization,and proper irrigation.,Early blight causes brown spots with concentric rings.,Apply fungicides and remove infected leaves.,,,,,,
Tomato,healthy,Tomato plants grown under optimal management show vigorous growth,healthy foliage,and uniform fruiting.,Plant shows healthy growth and fruiting.,No treatment required; maintain good practices.,,,,,,
Tomato,Late_blight,Tomato requires strict disease control especially during cool and humid weather.,Late blight causes rapid leaf and fruit rot.,Apply fungicides and remove infected plants.,,,,,,,,
Tomato,Leaf_Mold,Tomato plants grown in protected environments require proper ventilation.,Leaf mold causes yellow spots and fuzzy growth.,Improve airflow and apply fungicides.,,,,,,,,
Tomato,Septoria_leaf_spot,Tomato cultivation requires clean fields and crop rotation.,Septoria leaf spot causes small circular spots on leaves.,Remove infected leaves and apply fungicides.,,,,,,,,
Tomato,Spider_mites_Two-spotted_spider_mite,Tomato plants require regular pest monitoring and balanced irrigation.,Spider mites cause yellow stippling and webbing.,Use miticides and maintain humidity.,,,,,,,,
Tomato,Target_Spot,Tomato needs continuous disease surveillance.,Target spot causes brown circular leaf lesions.,Apply fungicides and remove affected foliage.,,,,,,,,
Tomato,Tomato_mosaic_virus,Tomato requires virus-free seeds and strict sanitation.,Mosaic virus causes mottled leaves and stunted growth.,Remove infected plants and disinfect tools.,,,,,,,,
Tomato,Tomato_Yellow_Leaf_Curl_Virus,Tomato cultivation depends on effective insect management.,Yellow leaf curl virus causes leaf curling and yellowing.,Control whiteflies and remove infected plants.,,,,,,,,
